fonte,registros,percentual_372,zona_bradford_aproximada
Journal of Intelligent Construction,1,0.3,Zona 3
Journal of Engineering Design and Technology,1,0.3,Zona 3
Journal of Engineering Research Kuwait,1,0.3,Zona 3
Journal of Building Performance Simulation,1,0.3,Zona 3
Journal of Civil Structural Health Monitoring,1,0.3,Zona 3
Journal of China and Foreign Highway,1,0.3,Zona 3
Journal of Construction in Developing Countries,1,0.3,Zona 3
Journal of Corporate Real Estate,1,0.3,Zona 3
International Transactions in Operational Research,1,0.3,Zona 3
International Review of Civil Engineering,1,0.3,Zona 3
International Journal of Tomography and Simulation,1,0.3,Zona 3
JURNAL TEKNOLOGI,1,0.3,Zona 3
Journal of Advanced Concrete Technology,1,0.3,Zona 3
Journal for Reattach Therapy and Developmental Diversities,1,0.3,Zona 3
Journal of Architectural Engineering,1,0.3,Zona 3
Kybernetes,1,0.3,Zona 3
Middle East Journal of Scientific Research,1,0.3,Zona 3
Membrane Water Treatment,1,0.3,Zona 3
Najua History of Architecture and Thai Architecture,1,0.3,Zona 3
Organization Technology and Management in Construction,1,0.3,Zona 3
Planning Malaysia,1,0.3,Zona 3
Procedia Engineering,1,0.3,Zona 3
PLEA 2020 35th PLEA Conference on Passive and Low Energy Architecture Planning Post Carbon Cities Proceedings,1,0.3,Zona 3
Lecture Notes in Energy,1,0.3,Zona 3
MEDITERRANEAN ARCHAEOLOGY & ARCHAEOMETRY,1,0.3,Zona 3
Lecture Notes in Networks and Systems,1,0.3,Zona 3
Management of Environmental Quality an International Journal,1,0.3,Zona 3
Mathematics,1,0.3,Zona 3
Measurement Journal of the International Measurement Confederation,1,0.3,Zona 3
Mej Mansoura Engineering Journal,1,0.3,Zona 3
Ksce Journal of Civil Engineering,1,0.3,Zona 3
Journal of Technical Education and Training,1,0.3,Zona 3
Proceedings of the 28th International Symposium on Automation and Robotics in Construction Isarc 2011,1,0.3,Zona 3
Proceedings of Bs 2013 13th Conference of the International Building Performance Simulation Association,1,0.3,Zona 3
Proceedings of 2025 International Conference on Management Science and Computer Engineering Msce 2025,1,0.3,Zona 3
Proceedings of 5th International Conference on Ubiquitous Computing and Intelligent Information Systems Icuis 2025,1,0.3,Zona 3
Proceedings 2024 IEEE International Symposium on Parallel and Distributed Processing with Applications Ispa 2024,1,0.3,Zona 3
Proceedings 2023 IEEE Smartworld Ubiquitous Intelligence and Computing Autonomous and Trusted Vehicles Scalable Computing and Communications Digital Twin Privacy Computing and Data Security Metaverse Smartworld Uic Atc Scalcom Digitaltwin Pcds Metaverse 2023,1,0.3,Zona 3
Proceedings 2010 6th International Conference on Natural Computation Icnc 2010,1,0.3,Zona 3
Proceedings 2018 IEEE International Conference on Environment and Electrical Engineering and 2018 IEEE Industrial and Commercial Power Systems Europe Eeeic I and Cps Europe 2018,1,0.3,Zona 3
PRACTICE PERIODICAL ON STRUCTURAL DESIGN AND CONSTRUCTION,1,0.3,Zona 3
Renewable Energy,1,0.3,Zona 3
Safety Science,1,0.3,Zona 3
Science and Technology for the Built Environment,1,0.3,Zona 3
Research Journal of Applied Sciences Engineering and Technology,1,0.3,Zona 3
Proceedings of the 39th Annual Arcom Conference Constructing for the Future Arcom 2023,1,0.3,Zona 3
Proceedings of the International Conference on Industrial Engineering and Operations Management,1,0.3,Zona 3
Proceedings of the 32nd Annual Arcom Conference Arcom 2016,1,0.3,Zona 3
Structure and Infrastructure Engineering,1,0.3,Zona 3
Structural Survey,1,0.3,Zona 3
Simulation Modelling Practice and Theory,1,0.3,Zona 3
"Smart Innovation, Systems and Technologies; Sustainability in Energy and Buildings 2020",1,0.3,Zona 3
Sustainable Retrofit and Facilities Management,1,0.3,Zona 3
Sustainable Water Resources Management,1,0.3,Zona 3
Tehnicki Vjesnik,1,0.3,Zona 3
Sustainable Human Building Ecosystems Selected Papers from the 1st International Symposium on Sustainable Human Building Ecosystems,1,0.3,Zona 3
Theoretical and Empirical Researches in Urban Management,1,0.3,Zona 3
Urban Sustainability,1,0.3,Zona 3
Water Switzerland,1,0.3,Zona 3
Water Conservation Science and Engineering,1,0.3,Zona 3
Weftec 2019 92nd Annual Water Environment Federation S Technical Exhibition and Conference,1,0.3,Zona 3
Wit Transactions on Ecology and the Environment,1,0.3,Zona 3
Xi an Jianzhu Keji Daxue Xuebao Journal of Xi an University of Architecture and Technology,1,0.3,Zona 3
Zemch International Conference,1,0.3,Zona 3
