id_unico,titulo,ano,metodo_identificado_leitura,usa_ahp_extracao_automatica,usa_topsis_extracao_automatica,usa_outro_mcdm_extracao_automatica,metodo_mcdm_especifico_extracao_automatica
REG_04953,Spatial Intelligence for Efficient High-Rise Building Maintenance and Repair,2026,BIM,nao,nao,nao,
REG_04953,Spatial Intelligence for Efficient High-Rise Building Maintenance and Repair,2026,machine learning,nao,nao,nao,
REG_05142,Quantifying BIM investment value: a systematic review,2025,framework,nao,nao,nao,
REG_05142,Quantifying BIM investment value: a systematic review,2025,BIM,nao,nao,nao,
REG_05161,Post-Construction Constructability Assessment and Service Quality in Higher Education Infrastructure: Evidence from a Peruvian University Campus,2025,scoring,nao,nao,nao,
REG_05161,Post-Construction Constructability Assessment and Service Quality in Higher Education Infrastructure: Evidence from a Peruvian University Campus,2025,framework,nao,nao,nao,
REG_05283,An in-depth analysis of facility management approaches in Nigeria's ailing healthcare sector,2025,framework,nao,nao,nao,
REG_05338,Developing Performance Measurement Framework for Sustainable Facility Management (SFM) in Office Buildings Using Bayesian Best Worst Method,2025,ranking,nao,nao,sim,BWM
REG_05338,Developing Performance Measurement Framework for Sustainable Facility Management (SFM) in Office Buildings Using Bayesian Best Worst Method,2025,scoring,nao,nao,sim,BWM
REG_05338,Developing Performance Measurement Framework for Sustainable Facility Management (SFM) in Office Buildings Using Bayesian Best Worst Method,2025,Bayesian Best Worst Method,nao,nao,sim,BWM
REG_05338,Developing Performance Measurement Framework for Sustainable Facility Management (SFM) in Office Buildings Using Bayesian Best Worst Method,2025,framework,nao,nao,sim,BWM
REG_05371,Artificial intelligence in healthcare facilities asset information management: mixed review,2025,decision support,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_05371,Artificial intelligence in healthcare facilities asset information management: mixed review,2025,framework,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_05371,Artificial intelligence in healthcare facilities asset information management: mixed review,2025,BIM,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_05371,Artificial intelligence in healthcare facilities asset information management: mixed review,2025,machine learning,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_05379,Offshore Wind Turbine Key Components’ Life Cycle Cost Analysis (LCCA): Specification Options in Western Australia,2025,life-cycle cost,nao,nao,nao,
REG_05379,Offshore Wind Turbine Key Components’ Life Cycle Cost Analysis (LCCA): Specification Options in Western Australia,2025,framework,nao,nao,nao,
REG_05404,Strategic planning of sustainable maintenance in heritage school buildings: Malaysia perspectives,2025,framework,nao,nao,nao,
REG_05430,Development of an ontology-based asset information model for predictive maintenance in building facilities,2025,decision support,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_05430,Development of an ontology-based asset information model for predictive maintenance in building facilities,2025,framework,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_05430,Development of an ontology-based asset information model for predictive maintenance in building facilities,2025,digital twin,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_05449,Enhancing asset management: Integrating digital twins for continuous permitting and compliance - A systematic literature review,2025,optimization,nao,nao,nao,
REG_05449,Enhancing asset management: Integrating digital twins for continuous permitting and compliance - A systematic literature review,2025,framework,nao,nao,nao,
REG_05449,Enhancing asset management: Integrating digital twins for continuous permitting and compliance - A systematic literature review,2025,digital twin,nao,nao,nao,
REG_05452,Optimization of an integrated hybrid commercial building with building information modelling,2025,optimization,nao,nao,nao,
REG_05452,Optimization of an integrated hybrid commercial building with building information modelling,2025,scoring,nao,nao,nao,
REG_05452,Optimization of an integrated hybrid commercial building with building information modelling,2025,framework,nao,nao,nao,
REG_05452,Optimization of an integrated hybrid commercial building with building information modelling,2025,BIM,nao,nao,nao,
REG_05452,Optimization of an integrated hybrid commercial building with building information modelling,2025,IoT,nao,nao,nao,
REG_05478,The development of prefabricated buildings and intelligent construction based on digital twins,2025,optimization,nao,nao,nao,
REG_05478,The development of prefabricated buildings and intelligent construction based on digital twins,2025,framework,nao,nao,nao,
REG_05478,The development of prefabricated buildings and intelligent construction based on digital twins,2025,digital twin,nao,nao,nao,
REG_05495,Research on Real-Time Control Strategy for HVAC Systems in University Libraries,2025,optimization,nao,nao,nao,
REG_05495,Research on Real-Time Control Strategy for HVAC Systems in University Libraries,2025,framework,nao,nao,nao,
REG_05517,Life-cycle cost assessment of conventional and self-centering steel frames in seismic zones: An extra focus on environmental impacts,2025,life-cycle cost,nao,nao,nao,
REG_05517,Life-cycle cost assessment of conventional and self-centering steel frames in seismic zones: An extra focus on environmental impacts,2025,framework,nao,nao,nao,
REG_05558,Applications of Digital Technologies in Promoting Sustainable Construction Practices: A Literature Review,2025,optimization,nao,nao,nao,
REG_05558,Applications of Digital Technologies in Promoting Sustainable Construction Practices: A Literature Review,2025,Delphi,nao,nao,nao,
REG_05558,Applications of Digital Technologies in Promoting Sustainable Construction Practices: A Literature Review,2025,framework,nao,nao,nao,
REG_05558,Applications of Digital Technologies in Promoting Sustainable Construction Practices: A Literature Review,2025,BIM,nao,nao,nao,
REG_05559,Exploiting digital twins for occupancy and energy optimisation for office buildings,2025,optimization,nao,nao,nao,
REG_05559,Exploiting digital twins for occupancy and energy optimisation for office buildings,2025,scoring,nao,nao,nao,
REG_05559,Exploiting digital twins for occupancy and energy optimisation for office buildings,2025,framework,nao,nao,nao,
REG_05559,Exploiting digital twins for occupancy and energy optimisation for office buildings,2025,digital twin,nao,nao,nao,
REG_05559,Exploiting digital twins for occupancy and energy optimisation for office buildings,2025,IoT,nao,nao,nao,
REG_05559,Exploiting digital twins for occupancy and energy optimisation for office buildings,2025,machine learning,nao,nao,nao,
REG_05613,Potential for Integrating Post-Construction Facility Management with BIM in Steel Building Projects in the Middle East,2025,scoring,nao,nao,nao,
REG_05613,Potential for Integrating Post-Construction Facility Management with BIM in Steel Building Projects in the Middle East,2025,framework,nao,nao,nao,
REG_05613,Potential for Integrating Post-Construction Facility Management with BIM in Steel Building Projects in the Middle East,2025,BIM,nao,nao,nao,
REG_05632,Integration of technology in decision-making in university facilities management: a literature review,2025,decision support,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_05632,Integration of technology in decision-making in university facilities management: a literature review,2025,framework,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_05632,Integration of technology in decision-making in university facilities management: a literature review,2025,BIM,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_05645,Digital Twins for Sustainable Hospitality Facilities Management: A Review and Empirical Investigation,2025,framework,nao,nao,nao,
