id_unico,titulo,ano,metodo_identificado_leitura,usa_ahp_extracao_automatica,usa_topsis_extracao_automatica,usa_outro_mcdm_extracao_automatica,metodo_mcdm_especifico_extracao_automatica
REG_07235,EXPERT VERIFICATION OF INFORMATION REQUIREMENTS FOR INTEGRATING BUILDING INFORMATION MODELLING WITH OPERATION AND MAINTENANCE,2023,BIM,nao,nao,nao,
REG_07476,Enhancing building maintainability through early supplier involvement in the design process,2023,framework,nao,nao,nao,
REG_08015,CIB - UTILITY BASED SYSTEMS FRAMEWORK FOR EXISTING RESIDENTIAL BUILDING,2022,ranking,nao,nao,nao,
REG_08015,CIB - UTILITY BASED SYSTEMS FRAMEWORK FOR EXISTING RESIDENTIAL BUILDING,2022,life-cycle cost,nao,nao,nao,
REG_08015,CIB - UTILITY BASED SYSTEMS FRAMEWORK FOR EXISTING RESIDENTIAL BUILDING,2022,framework,nao,nao,nao,
REG_08052,Stochastic maintenance models for ceramic claddings,2020,decision support,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_08052,Stochastic maintenance models for ceramic claddings,2020,framework,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_08528,Building Institutional Resilience Through Sustainable Facility Management in South African Vocational Education,2025,framework,nao,nao,nao,
REG_09113,"Application of Multicriteria Decision-Making Methods to Determine the Appropriate Policy for Maintenance of Buildings in Karaj City, Iran",2023,AHP,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_09113,"Application of Multicriteria Decision-Making Methods to Determine the Appropriate Policy for Maintenance of Buildings in Karaj City, Iran",2023,MCDM,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_09113,"Application of Multicriteria Decision-Making Methods to Determine the Appropriate Policy for Maintenance of Buildings in Karaj City, Iran",2023,fuzzy,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_09113,"Application of Multicriteria Decision-Making Methods to Determine the Appropriate Policy for Maintenance of Buildings in Karaj City, Iran",2023,ranking,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_09113,"Application of Multicriteria Decision-Making Methods to Determine the Appropriate Policy for Maintenance of Buildings in Karaj City, Iran",2023,decision support,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_09113,"Application of Multicriteria Decision-Making Methods to Determine the Appropriate Policy for Maintenance of Buildings in Karaj City, Iran",2023,Delphi,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_09113,"Application of Multicriteria Decision-Making Methods to Determine the Appropriate Policy for Maintenance of Buildings in Karaj City, Iran",2023,framework,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_09127,Key Performance Indicators for Building Assessment. A case study on an R/C Building in Greece,2023,decision support,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_09169,"Prioritizing Heritage Building Maintenance: A Fuzzy Model Approach for Arc De Bera, Spain",2023,fuzzy,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_09169,"Prioritizing Heritage Building Maintenance: A Fuzzy Model Approach for Arc De Bera, Spain",2023,ranking,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_09169,"Prioritizing Heritage Building Maintenance: A Fuzzy Model Approach for Arc De Bera, Spain",2023,scoring,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_09169,"Prioritizing Heritage Building Maintenance: A Fuzzy Model Approach for Arc De Bera, Spain",2023,framework,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_09169,"Prioritizing Heritage Building Maintenance: A Fuzzy Model Approach for Arc De Bera, Spain",2023,machine learning,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_09290,Stakeholders' perception of critical success factors for sustainable facilities management practice in universities in sub-Saharan Africa,2017,scoring,nao,nao,nao,
REG_09503,Developing post occupancy evaluation sustainability assessment framework for retrofitting commercial office buildings: A proposal,2012,scoring,nao,nao,nao,
REG_09503,Developing post occupancy evaluation sustainability assessment framework for retrofitting commercial office buildings: A proposal,2012,framework,nao,nao,nao,
